input, method, guess, after_one, final, iters
5.915940e-02,Blinn,4.213799e+00,4.113903e+00,4.111534e+00,2
5.915940e-02,QuakeIII,3.971760e+00,4.104352e+00,4.111367e+00,2
5.915940e-02,withoutDiv,4.020449e+00,4.108390e+00,4.111382e+00,2
5.915940e-02,optimal_grid,3.606898e+00,4.112295e+00,4.112295e+00,1
5.915940e-02,Moroz,3.972685e+00,4.107937e+00,4.114996e+00,95
1.308170e-01,Blinn,2.953464e+00,2.757585e+00,2.764365e+00,2
1.308170e-01,QuakeIII,2.818324e+00,2.763264e+00,2.763264e+00,1
1.308170e-01,withoutDiv,2.856789e+00,2.760187e+00,2.764815e+00,2
1.308170e-01,optimal_grid,2.453462e+00,2.766492e+00,2.766492e+00,1
1.308170e-01,Moroz,2.819249e+00,2.765687e+00,2.765687e+00,1
1.470926e-02,Blinn,8.468862e+00,8.250055e+00,8.245549e+00,2
1.470926e-02,QuakeIII,7.964151e+00,8.231052e+00,8.245229e+00,2
1.470926e-02,withoutDiv,8.082163e+00,8.240458e+00,8.245261e+00,2
1.470926e-02,optimal_grid,7.234427e+00,8.247141e+00,8.247141e+00,1
1.470926e-02,Moroz,7.966002e+00,8.238239e+00,8.252509e+00,95
4.652355e-02,Blinn,5.022493e+00,4.612752e+00,4.634641e+00,2
4.652355e-02,QuakeIII,4.752213e+00,4.631825e+00,4.636209e+00,2
4.652355e-02,withoutDiv,4.829144e+00,4.624006e+00,4.636167e+00,2
4.652355e-02,optimal_grid,4.022490e+00,4.633906e+00,4.563067e+00,95
4.652355e-02,Moroz,4.754064e+00,4.635862e+00,4.635862e+00,1
6.168848e-02,Blinn,4.051937e+00,4.027535e+00,4.027535e+00,1
6.168848e-02,QuakeIII,3.890829e+00,4.019471e+00,4.026207e+00,2
6.168848e-02,withoutDiv,3.929294e+00,4.022752e+00,4.026220e+00,2
6.168848e-02,optimal_grid,3.525967e+00,4.026746e+00,4.026746e+00,1
6.168848e-02,Moroz,3.891754e+00,4.022983e+00,4.029761e+00,95
1.343255e-01,Blinn,2.925396e+00,2.719775e+00,2.727919e+00,2
1.343255e-01,QuakeIII,2.790257e+00,2.726366e+00,2.728478e+00,2
1.343255e-01,withoutDiv,2.828722e+00,2.722888e+00,2.728463e+00,2
1.343255e-01,optimal_grid,2.425395e+00,2.730191e+00,2.730191e+00,1
1.343255e-01,Moroz,2.791182e+00,2.728755e+00,2.728755e+00,1
4.904267e-02,Blinn,4.861269e+00,4.498047e+00,4.514426e+00,2
4.904267e-02,QuakeIII,4.590990e+00,4.513674e+00,4.513674e+00,1
4.904267e-02,withoutDiv,4.667920e+00,4.507778e+00,4.515554e+00,2
4.904267e-02,optimal_grid,3.930633e+00,4.514439e+00,4.514439e+00,1
4.904267e-02,Moroz,4.592841e+00,4.517616e+00,4.519541e+00,95
2.362242e-02,Blinn,6.976331e+00,6.485536e+00,6.505013e+00,2
2.362242e-02,QuakeIII,6.706051e+00,6.497069e+00,6.506337e+00,2
2.362242e-02,withoutDiv,6.782981e+00,6.488465e+00,6.506283e+00,2
2.362242e-02,optimal_grid,5.976327e+00,6.502141e+00,6.403701e+00,95
2.362242e-02,Moroz,6.707902e+00,6.502791e+00,6.512073e+00,95
1.267590e-01,Blinn,2.985928e+00,2.803272e+00,2.808391e+00,2
1.267590e-01,QuakeIII,2.850789e+00,2.807785e+00,2.807785e+00,1
