N,Range_Min,Range_Max,Magic,Avg_Relative_Error,Max_Relative_Error
4,0.250,0.354,0x5F38311B,0.000499069,0.001352865
4,0.354,0.500,0x5F32FF5E,0.000102143,0.000180310
4,0.500,0.707,0x5F33588B,0.000064376,0.000121982
4,0.707,1.000,0x5F37B2FC,0.000821636,0.001611145
8,0.250,0.297,0x5F3B3400,0.000175138,0.000515375
8,0.297,0.354,0x5F343405,0.000066475,0.000190212
8,0.354,0.420,0x5F314291,0.000004542,0.000008437
8,0.420,0.500,0x5F331A8D,0.000064412,0.000164804
8,0.500,0.595,0x5F337EF4,0.000038050,0.000105233
8,0.595,0.707,0x5F3252E4,0.000005681,0.000010230
8,0.707,0.841,0x5F350ED5,0.000127877,0.000353157
8,0.841,1.000,0x5F3A5551,0.000383371,0.000746014
16,0.250,0.273,0x5F3D6828,0.000051915,0.000152242
16,0.273,0.297,0x5F38DBA2,0.000036233,0.000107626
16,0.297,0.324,0x5F354A9C,0.000022347,0.000066177
16,0.324,0.354,0x5F32C3A7,0.000010496,0.000031400
16,0.354,0.386,0x5F314CFB,0.000002769,0.000007372
16,0.386,0.420,0x5F30E7DA,0.000000325,0.000000677
16,0.420,0.459,0x5F31BCD3,0.000006968,0.000018862
16,0.459,0.500,0x5F33BC32,0.000024932,0.000074169
16,0.500,0.545,0x5F340E1A,0.000013809,0.000042066
16,0.545,0.595,0x5F329BE7,0.000004871,0.000013821
16,0.595,0.648,0x5F32000C,0.000000292,0.000000644
16,0.648,0.707,0x5F3259BB,0.000003596,0.000009218
16,0.707,0.771,0x5F339CFE,0.000017629,0.000050824
16,0.771,0.841,0x5F35DFC7,0.000046898,0.000138829
16,0.841,0.917,0x5F392A56,0.000097152,0.000292099
16,0.917,1.000,0x5F3CC044,0.000129407,0.000243633
32,0.250,0.261,0x5F3EA97E,0.000013662,0.000040929
32,0.261,0.273,0x5F3C1FD5,0.000011627,0.000035105
32,0.273,0.285,0x5F39D816,0.000009734,0.000029640
32,0.285,0.297,0x5F37CE5E,0.000008035,0.000024173
32,0.297,0.310,0x5F3605A5,0.000006259,0.000019111
32,0.310,0.324,0x5F347E26,0.000004735,0.000014254
32,0.324,0.339,0x5F333862,0.000003264,0.000009849
32,0.339,0.354,0x5F323699,0.000002000,0.000006096
32,0.354,0.369,0x5F3179A5,0.000001009,0.000003042
32,0.369,0.386,0x5F31016A,0.000000341,0.000000962
32,0.386,0.403,0x5F30CC7E,0.000000033,0.000000149
32,0.403,0.420,0x5F30EB63,0.000000211,0.000000606
32,0.420,0.439,0x5F314E75,0.000000966,0.000002844
32,0.439,0.459,0x5F31FEC4,0.000002460,0.000007184
32,0.459,0.479,0x5F32FCED,0.000004745,0.000014046
32,0.479,0.500,0x5F344BAF,0.000007978,0.000023855
32,0.500,0.522,0x5F347D92,0.000004242,0.000012729
32,0.522,0.545,0x5F338CEE,0.000002881,0.000008538
32,0.545,0.569,0x5F32D271,0.000001654,0.000004947
32,0.569,0.595,0x5F324E6A,0.000000764,0.000002249
32,0.595,0.621,0x5F3201BB,0.000000182,0.000000552
32,0.621,0.648,0x5F31ECFC,0.000000029,0.000000096
32,0.648,0.677,0x5F321747,0.000000397,0.000001152
32,0.677,0.707,0x5F327A1D,0.000001378,0.000004022
32,0.707,0.738,0x5F331AC5,0.000003004,0.000009123
32,0.738,0.771,0x5F33F910,0.000005593,0.000016958
32,0.771,0.805,0x5F35183C,0.000009376,0.000027920
32,0.805,0.841,0x5F3678FE,0.000014232,0.000042632
32,0.841,0.878,0x5F381D39,0.000020691,0.000061661
32,0.878,0.917,0x5F3A06AF,0.000029335,0.000085682
32,0.917,0.958,0x5F3C37A5,0.000038837,0.000116182
32,0.958,1.000,0x5F3E444F,0.000037218,0.000069158
