input,reference,initial,final,iters,magic
0.227885,2.094796,0.619403,2.094723,6,0x5E533E94
0.398847,1.583423,0.429663,1.583423,7,0x5E42179B
1.053064,0.974479,0.543970,0.974479,5,0x5ECEA705
0.851602,1.083632,0.523629,1.083628,5,0x5EB30DD3
0.793922,1.122305,1.473969,1.122298,4,0x5F624A40
0.199341,2.239762,3.264781,2.239738,5,0x5F77022C
1.202369,0.911971,0.254514,0.911887,6,0x5E4F434E
0.951950,1.024927,0.602846,1.024861,4,0x5ED42D9F
0.574857,1.318925,1.857643,1.318925,5,0x5F775C27
1.470219,0.824725,0.752986,0.824725,3,0x5F1EDBB8
0.953446,1.024123,0.401964,1.024123,6,0x5E87D8BA
0.841817,1.089911,0.454238,1.089842,5,0x5E945284
0.883584,1.063839,0.927838,1.063838,3,0x5F1EA017
1.451733,0.829959,0.448924,0.829959,5,0x5EC2C283
0.901888,1.052989,1.548094,1.052964,5,0x5F799903
1.237765,0.898837,0.186679,0.898821,7,0x5E0E603D
1.239346,0.898264,1.193612,0.898251,4,0x5F6819BA
1.263815,0.889525,0.227228,0.889525,7,0x5E3990C9
1.492230,0.818620,0.241129,0.818589,6,0x5E566B49
0.740063,1.162427,0.366796,1.162415,6,0x5E5A871D
1.049735,0.976023,0.486082,0.976022,5,0x5EBC0E9F
0.271397,1.919540,0.724405,1.919540,6,0x5E7EECED
1.360044,0.857479,0.203930,0.857478,7,0x5E27DDF9
1.162193,0.927600,0.318172,0.927599,6,0x5E6D48C5
0.631929,1.257957,0.340285,1.257957,7,0x5E3F1CED
1.233459,0.900405,0.204552,0.900402,7,0x5E20672D
0.281337,1.885326,0.854208,1.885302,5,0x5EA2B320
0.943060,1.029747,1.301292,1.029746,4,0x5F5F46EF
0.999662,1.000169,1.062958,1.000115,2,0x5F4803EA
0.864141,1.075741,0.237078,1.075735,7,0x5E2160BD
1.157291,0.929563,0.456691,0.929561,5,0x5EB3E481
1.138587,0.937167,0.785493,0.937161,3,0x5F11F4B6
0.369163,1.645852,2.034518,1.645852,4,0x5F60B704
0.871569,1.071147,0.905420,1.071142,3,0x5F17592E
1.353837,0.859442,0.462960,0.859442,5,0x5EC3AE58
0.401530,1.578124,0.784579,1.578121,5,0x5EAFA4D0
1.349852,0.860710,0.197493,0.860708,7,0x5E209F92
0.843098,1.089083,1.120651,1.089080,2,0x5F3B5C23
0.220793,2.128176,0.727334,2.128172,6,0x5E6B3E4E
0.360091,1.666456,1.039688,1.666426,4,0x5EE14369
0.380203,1.621780,0.941112,1.621780,5,0x5ED241BC
0.335803,1.725669,0.366396,1.725649,7,0x5E118F68
0.982504,1.008864,0.285304,1.008789,6,0x5E4FD608
0.699471,1.195681,0.314553,1.195681,7,0x5E3A955E
0.915949,1.044875,0.260787,1.044875,7,0x5E3AC3A3
0.317649,1.774297,0.420937,1.774295,7,0x5E28D679
0.896045,1.056417,0.223223,1.056403,7,0x5E17461D
0.237812,2.050611,1.603828,2.050611,4,0x5F070CB5
0.888090,1.061137,0.627364,1.061075,4,0x5ED247DB
0.373564,1.636129,1.899713,1.636114,3,0x5F52CBA8
0.271762,1.918251,0.465664,1.918249,7,0x5E33FDAF
1.407298,0.842960,0.466967,0.842960,5,0x5EC9276F
1.200296,0.912759,0.333354,0.912758,6,0x5E777F0C
1.385590,0.849538,0.226539,0.849538,7,0x5E40A73A
0.566116,1.329068,0.846088,1.329053,4,0x5EE10FC0
1.113746,0.947560,0.421452,0.947543,5,0x5E9F103C
0.461296,1.472347,0.614500,1.472256,5,0x5E93675C
0.479683,1.443853,0.851268,1.443764,4,0x5ED4B93A
1.361384,0.857057,0.534331,0.857041,4,0x5EDFEAD2
1.236084,0.899448,0.198594,0.899443,7,0x5E1A7833
0.323017,1.759491,1.160451,1.759483,4,0x5EE73AE9
1.360259,0.857411,1.148314,0.857391,4,0x5F6A0A6E
1.006821,0.996607,0.250375,0.996606,7,0x5E40A0F5
0.496886,1.418638,0.809022,1.418638,5,0x5ECE5000
0.919770,1.042702,0.551807,1.042702,5,0x5EC2FE48
1.009803,0.995134,0.296684,0.995104,6,0x5E588790
1.316409,0.871575,0.310003,0.871574,6,0x5E72F8B6
0.273017,1.913840,0.418268,1.913827,7,0x5E1C0BAC
0.220704,2.128603,1.616807,2.128603,4,0x5EFFF3AF
0.942782,1.029898,0.704562,1.029897,4,0x5EED0B48
1.075238,0.964379,1.274953,0.964369,4,0x5F68025E
0.552223,1.345683,0.974502,1.345683,4,0x5F00282F
0.611273,1.279035,1.078149,1.279028,3,0x5F183F00
0.657155,1.233577,0.289934,1.233575,7,0x5E288FD6
0.750105,1.154620,0.311184,1.154620,7,0x5E3F56F6
0.955537,1.023002,0.655811,1.022992,4,0x5EE2323F
0.811856,1.109840,1.496243,1.109801,4,0x5F676FC7
0.597887,1.293273,0.349328,1.293273,7,0x5E3F62C1
1.363104,0.856516,0.228354,0.856516,7,0x5E4112DC
0.848650,1.085515,1.581606,1.085504,5,0x5F7712A4
1.060006,0.971283,0.895736,0.971170,2,0x5F29261C
0.629528,1.260354,0.317029,1.260353,7,0x5E32E608
0.472739,1.454418,0.532974,1.454418,6,0x5E81766A
1.498805,0.816822,0.780344,0.816811,2,0x5F27B115
0.544774,1.354851,0.379634,1.354735,6,0x5E481A94
0.912019,1.047124,0.275985,1.047124,7,0x5E420AEF
0.601968,1.288882,0.564409,1.288850,5,0x5E9D8A5F
0.732372,1.168515,0.379008,1.168508,6,0x5E5FCBA8
1.170757,0.924202,0.205693,0.924197,7,0x5E1D8EC9
0.972187,1.014203,0.738571,1.014203,4,0x5EF9839D
1.387216,0.849040,1.112204,0.849035,4,0x5F6724D4
0.542038,1.358267,1.607701,1.358230,3,0x5F532AA7
1.374159,0.853064,0.195083,0.853062,7,0x5E1FB60E
0.369977,1.644040,0.404889,1.644039,7,0x5E2E047A
1.149469,0.932720,0.984884,0.932688,2,0x5F45B23D
1.496419,0.817473,0.373884,0.817465,5,0x5E9F3308
0.737668,1.164312,1.119577,1.164304,2,0x5F2DBA36
0.233586,2.069079,0.421424,2.069027,7,0x5E0F5D5E
0.207380,2.195920,1.936126,2.195918,3,0x5F2200B0
1.449047,0.830728,0.778945,0.830687,2,0x5F24261E
0.565284,1.330046,1.429201,1.330046,3,0x5F3F4B4A
1.315295,0.871944,0.470242,0.871943,5,0x5EC4F16B
0.566505,1.328612,0.405062,1.328585,6,0x5E57E78D
0.440273,1.507090,1.276991,1.507084,3,0x5F142A25
1.178547,0.921142,0.773105,0.921136,3,0x5F115786
0.623311,1.266624,1.635093,1.266621,4,0x5F611360
1.116624,0.946339,0.656640,0.946338,4,0x5EEF905A
0.835252,1.094186,1.440807,1.094178,4,0x5F6355E7
0.877226,1.067688,1.078514,1.067688,2,0x5F3A55B4
1.071081,0.966249,0.218838,0.966245,7,0x5E24A3B8
1.296323,0.878301,0.202613,0.878299,7,0x5E2270CC
1.219634,0.905493,0.544771,0.905457,4,0x5ED9849E
0.870156,1.072016,0.436899,1.071917,5,0x5E8F1276
1.498703,0.816850,0.508399,0.816834,4,0x5EE2112C
0.503721,1.408980,0.745188,1.408980,5,0x5EBF3E98
0.216579,2.148779,1.504923,2.148777,4,0x5EEF84C9
0.554325,1.343129,1.615303,1.343048,3,0x5F55B65E
0.235813,2.059285,1.992307,2.059277,2,0x5F37C05E
1.283055,0.882830,0.425871,0.882828,5,0x5EAC2959
0.526025,1.378786,0.420154,1.378759,6,0x5E5A7338
0.864436,1.075557,0.226999,1.075543,7,0x5E171836
0.997285,1.001360,0.313427,1.001348,6,0x5E60209C
1.198486,0.913447,0.396946,0.913420,5,0x5E97F085
1.315040,0.872028,0.315459,0.872028,6,0x5E75AD81
0.645736,1.244436,0.254517,1.244407,7,0x5E14F78C
0.242193,2.031978,0.422481,2.031944,7,0x5E145027
0.644192,1.245926,0.888974,1.245925,4,0x5EF608B0
1.243610,0.896722,0.390449,0.896697,5,0x5E97803B
1.059049,0.971722,0.723012,0.971722,4,0x5EFCDECB
0.806821,1.113298,0.454210,1.113197,5,0x5E8FD41E
0.911034,1.047690,0.401379,1.047690,6,0x5E821E48
0.843723,1.088679,0.740214,1.088678,4,0x5EE97DC8
0.224165,2.112108,1.265963,2.112015,4,0x5ED4D0CD
1.183196,0.919331,0.450593,0.919329,5,0x5EB26DA9
0.773007,1.137387,1.091686,1.137377,2,0x5F2EAE41
0.206479,2.200708,1.099938,2.200705,5,0x5EB68257
1.165360,0.926339,1.153757,0.926339,4,0x5F5E4390
1.426432,0.837287,0.420617,0.837286,5,0x5EB2A5CE
1.473687,0.823754,0.941179,0.823751,3,0x5F4F41F8
0.524543,1.380732,0.320869,1.380729,7,0x5E276D21
0.636064,1.253861,1.103295,1.253861,3,0x5F1EA356
0.723319,1.175804,0.670807,1.175804,5,0x5EC84FB7
0.283528,1.878029,1.450803,1.878029,4,0x5F024930
0.749363,1.155191,0.645008,1.155191,5,0x5EC50A63
0.867959,1.073372,0.659490,1.073345,4,0x5ED7EDA5
1.343573,0.862719,0.530731,0.862698,4,0x5EDDDB15
0.262322,1.952464,0.420859,1.952447,7,0x5E1AA24C
0.345707,1.700770,1.514457,1.700770,3,0x5F1A59FF
1.197512,0.913819,0.832940,0.913819,3,0x5F21DF9E
0.579871,1.313210,1.438835,1.313210,3,0x5F4264F6
1.220316,0.905240,0.307437,0.905238,6,0x5E6B820C
0.544423,1.355289,0.921164,1.355286,4,0x5EF18107
1.486662,0.820151,1.218729,0.820098,5,0x5F7B24CC
0.964036,1.018482,0.234485,1.018480,7,0x5E2B823E
0.739085,1.163196,0.297938,1.163195,7,0x5E3725B2
1.124497,0.943020,0.835844,0.943019,3,0x5F1DF19B
1.406348,0.843245,0.739219,0.843244,3,0x5F173F16
0.849523,1.084957,0.342546,1.084946,6,0x5E5C1F63
1.096954,0.954785,0.286846,0.954760,6,0x5E5911F9
1.423895,0.838033,0.391006,0.838027,5,0x5EA35313
0.467199,1.463016,0.331038,1.463011,7,0x5E211821
1.394424,0.846842,0.269405,0.846835,6,0x5E632DA6
1.446609,0.831428,0.347952,0.831379,5,0x5E8EBC11
1.062068,0.970340,0.206219,0.970329,7,0x5E1723ED
0.381004,1.620075,0.901954,1.620075,5,0x5EC86FEC
0.542435,1.357770,0.286944,1.357753,7,0x5E1858CF
0.966747,1.017053,0.582657,1.016944,4,0x5ED0E762
0.742379,1.160613,1.379386,1.160574,3,0x5F4F95FC
0.511602,1.398086,1.778348,1.398085,4,0x5F651D16
0.558846,1.337685,0.352956,1.337685,7,0x5E3C3EEF
1.320014,0.870384,1.255525,0.870381,5,0x5F753021
0.227568,2.096255,1.122612,2.096255,5,0x5EC43594
0.951326,1.025263,0.683841,1.025260,4,0x5EE8D540
0.863005,1.076449,0.974697,1.076449,3,0x5F27FCB0
0.546115,1.353187,1.415383,1.353166,2,0x5F3B125E
1.149905,0.932543,0.790619,0.932540,3,0x5F13FE0F
0.438162,1.510715,0.371598,1.510715,7,0x5E2E6D75
0.969651,1.015529,0.431080,1.015483,5,0x5E98D3FE
0.867807,1.073466,0.380646,1.073466,6,0x5E71F857
1.390799,0.847945,0.215420,0.847945,7,0x5E359A01
0.340849,1.712849,1.447037,1.712841,3,0x5F107A64
0.873958,1.069682,0.743239,1.069681,4,0x5EEE22C9
0.315763,1.779588,1.639809,1.779587,3,0x5F22BB1D
0.717761,1.180348,1.250195,1.180297,2,0x5F3BE5F9
1.477738,0.822624,0.567130,0.822623,4,0x5EEFC2AF
