input, magic
7.077118e-12, 0x5F33282D
3.895370e-29, 0x5F338E9F
1.186019e-28, 0x5F34BF8F
1.300558e-07, 0x5F34DC34
4.285005e-12, 0x5F3759DF
4.801384e-25, 0x5F32A191
4.559977e-03, 0x5F3759DF
1.562770e-03, 0x5F2FF99C
5.388500e-05, 0x5F385A78
3.671087e-27, 0x5F37CFE5
4.220067e-13, 0x5F32D298
1.057035e-33, 0x5F335F4C
4.128365e-15, 0x5F3759DF
1.948024e-04, 0x5F36F9E4
1.397846e-32, 0x5F38B8BC
5.213357e-23, 0x5F3E5569
1.080019e-34, 0x5F342F4C
3.541211e-24, 0x5F3BF0E0
4.095700e-01, 0x5F301BB3
4.242280e-38, 0x5F3A2964
1.090119e-34, 0x5F35934C
2.487605e-31, 0x5F3618BC
1.817538e-09, 0x5F3759DF
1.672396e-35, 0x5F2FB13D
1.782516e-29, 0x5F3317D8
5.375201e-07, 0x5F3226FA
6.934894e-35, 0x5F302D20
3.479407e-09, 0x5F3D0917
3.180746e-31, 0x5F322A28
1.233293e-35, 0x5F3D6B98
2.697107e-25, 0x5F342C4C
7.506913e-33, 0x5F3458A1
8.803707e-13, 0x5F3DF7F5
1.568699e-04, 0x5F30A9DB
4.148893e-08, 0x5F33D2DD
1.023530e-23, 0x5F33F8CB
8.740202e-26, 0x5F2F5A13
4.651236e-17, 0x5F3759DF
8.790855e-17, 0x5F2FC19A
6.880036e-38, 0x5F32A8C4
9.217172e-16, 0x5F3F9DC8
2.827530e-03, 0x5F345E83
5.975379e-06, 0x5F308467
2.313762e-07, 0x5F3DAD57
4.250160e-17, 0x5F37247E
6.590259e-04, 0x5F317D0E
6.177208e-25, 0x5F361216
6.512473e-34, 0x5F3759DF
8.423723e-10, 0x5F3A42E0
1.105436e-31, 0x5F32C89E
1.384758e-18, 0x5F30D1B0
3.543888e-38, 0x5F358EE8
6.126016e-17, 0x5F39ED2C
1.012740e-16, 0x5F327471
6.718741e-27, 0x5F343D7A
2.200303e-36, 0x5F33F551
1.092538e-26, 0x5F3759DF
2.577400e-24, 0x5F348297
4.937771e-31, 0x5F324A20
4.152245e-25, 0x5F33C223
8.078647e-14, 0x5F3133B1
1.511770e-15, 0x5F31745B
5.936809e-14, 0x5F3CB9C0
4.603144e-18, 0x5F334DCA
1.539285e-05, 0x5F4025FE
8.855237e-07, 0x5F38CF24
1.315426e-02, 0x5F3759DF
1.589587e-34, 0x5F36E06E
6.028150e-16, 0x5F3226EA
7.611437e-29, 0x5F2EF6D2
7.295134e-07, 0x5F328926
6.032610e-12, 0x5F2CEDFF
2.454586e-12, 0x5F2FEA73
4.512833e-03, 0x5F38AC53
9.445914e-04, 0x5F3759DF
5.417966e-19, 0x5F34338F
1.813451e-15, 0x5F3514DE
4.145647e-14, 0x5F35B7AB
4.809530e-37, 0x5F3302A3
1.758371e-36, 0x5F32FEA0
1.164687e-03, 0x5F362466
1.027507e-09, 0x5F3759DF
1.325296e-18, 0x5F3016CA
1.272021e-08, 0x5F3759DF
3.313288e-14, 0x5F333997
7.702546e-38, 0x5F2DE120
2.337654e-38, 0x5F33B34E
2.675776e-24, 0x5F350014
1.576494e-23, 0x5F3759DF
1.556871e-34, 0x5F365C49
1.743765e-30, 0x5F325B01
1.066915e-22, 0x5F34E70C
1.741621e-04, 0x5F34CEA7
1.998899e-12, 0x5F2EA949
3.277472e-05, 0x5F334470
