input,reference,initial,after_one,final,iters,magic
0.460886,1.473002,1.510854,1.471530,1.472999,2,0x5F376047
0.228881,2.090237,2.034207,2.088004,2.090233,2,0x5F376048
0.942380,1.030118,0.995123,1.028355,1.030114,2,0x5F376049
1.986191,0.709561,0.719765,0.709339,0.709339,1,0x5F37604A
0.031293,5.652922,5.727721,5.651431,5.652921,2,0x5F37604B
0.411645,1.558613,1.609336,1.556111,1.558607,2,0x5F37604C
1.144009,0.934943,0.930311,0.934909,0.934909,1,0x5F37604D
0.290534,1.855246,1.851558,1.855235,1.855235,1,0x5F37604E
0.663876,1.227317,1.268751,1.225195,1.227311,2,0x5F37604F
0.109380,3.023642,3.115169,3.019445,3.023633,2,0x5F376050
1.312739,0.872792,0.888129,0.872386,0.872792,2,0x5F376051
0.266917,1.935584,1.898794,1.934542,1.935583,2,0x5F376052
0.047901,4.569064,4.664837,4.566031,4.569060,2,0x5F376053
0.044934,4.717511,4.854739,4.711465,4.717499,2,0x5F376054
0.499778,1.414528,1.433072,1.414162,1.414528,2,0x5F376055
1.168574,0.925064,0.924170,0.925063,0.925063,1,0x5F376056
0.159512,2.503820,2.589158,2.499408,2.503809,2,0x5F376057
0.394929,1.591257,1.642769,1.588729,1.591251,2,0x5F376058
0.125188,2.826301,2.863751,2.825554,2.826301,2,0x5F376059
0.172031,2.410999,2.489011,2.407172,2.410990,2,0x5F37605A
1.536634,0.806705,0.832156,0.805488,0.806702,2,0x5F37605B
1.450883,0.830202,0.853593,0.829204,0.830200,2,0x5F37605C
1.152041,0.931678,0.928304,0.931660,0.931660,1,0x5F37605D
0.907520,1.049716,1.025109,1.048858,1.049715,2,0x5F37605E
0.513054,1.396106,1.419574,1.395511,1.396105,2,0x5F37605F
0.960420,1.020398,0.986104,1.018688,1.020393,2,0x5F376060
0.426889,1.530532,1.578851,1.528220,1.530527,2,0x5F376061
0.922139,1.041362,1.010490,1.040003,1.041359,2,0x5F376062
0.090439,3.325231,3.418232,3.321293,3.325224,2,0x5F376063
0.197841,2.248238,2.282534,2.247449,2.248238,2,0x5F376064
1.094459,0.955873,0.942700,0.955602,0.955873,2,0x5F376065
0.374178,1.634787,1.684274,1.632517,1.634782,2,0x5F376066
0.073282,3.694038,3.692747,3.694037,3.694037,1,0x5F376067
0.119330,2.894844,2.955980,2.892894,2.894842,2,0x5F376068
0.664109,1.227101,1.268521,1.224980,1.227096,2,0x5F376069
0.624251,1.265670,1.308379,1.263484,1.265664,2,0x5F37606A
0.371361,1.640974,1.689908,1.638764,1.640970,2,0x5F37606B
0.509034,1.401608,1.423596,1.401088,1.401608,2,0x5F37606C
0.035879,5.279318,5.434244,5.272432,5.279305,2,0x5F37606D
0.093373,3.272572,3.371291,3.268060,3.272562,2,0x5F37606E
0.214964,2.156838,2.145552,2.156749,2.156749,1,0x5F37606F
0.112032,2.987644,3.072748,2.983973,2.987637,2,0x5F376070
0.582260,1.310514,1.350371,1.308677,1.310510,2,0x5F376071
0.065948,3.894020,3.810088,3.891326,3.894017,2,0x5F376072
0.071986,3.727148,3.713489,3.727073,3.727073,1,0x5F376073
0.072015,3.726404,3.713030,3.726332,3.726332,1,0x5F376074
0.923598,1.040539,1.009033,1.039123,1.040536,2,0x5F376075
0.456207,1.480537,1.520218,1.478927,1.480534,2,0x5F376076
0.084033,3.449648,3.520733,3.447436,3.449646,2,0x5F376077
0.306569,1.806074,1.819493,1.805924,1.805924,1,0x5F376078
1.039778,0.980686,0.956371,0.979789,0.980684,2,0x5F376079
0.219363,2.135098,2.110356,2.134670,2.135098,2,0x5F37607A
0.067915,3.837232,3.778628,3.835896,3.837232,2,0x5F37607B
1.536924,0.806629,0.832085,0.805411,0.806626,2,0x5F37607C
0.536708,1.364995,1.395924,1.363936,1.364994,2,0x5F37607D
1.773712,0.750859,0.772888,0.749880,0.750857,2,0x5F37607E
0.735371,1.166130,1.197262,1.164872,1.166128,2,0x5F37607F
0.445080,1.498928,1.542472,1.497013,1.498925,2,0x5F376080
0.206851,2.198726,2.210457,2.198632,2.198632,1,0x5F376081
1.031327,0.984695,0.958485,0.983658,0.984693,2,0x5F376082
0.241248,2.035956,1.967642,2.032556,2.035948,2,0x5F376083
0.233215,2.070720,1.999771,2.067116,2.070711,2,0x5F376084
0.448091,1.493884,1.536452,1.492048,1.493881,2,0x5F376085
0.570492,1.323961,1.362141,1.322294,1.323958,2,0x5F376086
0.504748,1.407546,1.427885,1.407103,1.407546,2,0x5F376087
1.138992,0.937000,0.931569,0.936953,0.936953,1,0x5F376088
0.778475,1.133385,1.154158,1.132811,1.133385,2,0x5F376089
1.009055,0.995503,0.964053,0.994029,0.995500,2,0x5F37608A
0.092215,3.293048,3.389820,3.288741,3.293040,2,0x5F37608B
0.038146,5.120074,5.289200,5.111602,5.120053,2,0x5F37608C
0.923097,1.040822,1.009537,1.039425,1.040819,2,0x5F37608D
0.203807,2.215084,2.234810,2.214820,2.215084,2,0x5F37608E
1.512095,0.813224,0.838293,0.812053,0.813222,2,0x5F37608F
1.145640,0.934277,0.929907,0.934247,0.934247,1,0x5F376090
0.105888,3.073107,3.171069,3.068372,3.073095,2,0x5F376091
0.696555,1.198181,1.236080,1.196364,1.198177,2,0x5F376092
0.238621,2.047132,1.978152,2.043685,2.047124,2,0x5F376093
0.083618,3.458196,3.527379,3.456107,3.458194,2,0x5F376094
0.302499,1.818184,1.827637,1.818110,1.818110,1,0x5F376095
0.986150,1.006998,0.973243,1.005319,1.006994,2,0x5F376096
0.221878,2.122967,2.090250,2.122215,2.122967,2,0x5F376097
0.084564,3.438800,3.512245,3.436430,3.438798,2,0x5F376098
0.032109,5.580669,5.675562,5.578235,5.580667,2,0x5F376099
0.366993,1.650710,1.698649,1.648602,1.650706,2,0x5F37609A
1.115922,0.946636,0.937337,0.946499,0.946499,1,0x5F37609B
0.043597,4.789289,4.940326,4.782069,4.789272,2,0x5F37609C
0.406213,1.569000,1.620209,1.566465,1.568994,2,0x5F37609D
0.067095,3.860607,3.791755,3.858776,3.860605,2,0x5F37609E
1.080492,0.962031,0.946195,0.961643,0.962031,2,0x5F37609F
0.552992,1.344747,1.379645,1.343377,1.344745,2,0x5F3760A0
0.737931,1.164105,1.194706,1.162888,1.164103,2,0x5F3760A1
0.532676,1.370151,1.399961,1.369172,1.370150,2,0x5F3760A2
0.245234,2.019340,1.951700,2.015980,2.019332,2,0x5F3760A3
0.616424,1.273680,1.316213,1.271526,1.273674,2,0x5F3760A4
0.384881,1.611896,1.662876,1.609452,1.611890,2,0x5F3760A5
0.065827,3.897614,3.812046,3.894817,3.897611,2,0x5F3760A6
0.685515,1.207791,1.247123,1.205849,1.207786,2,0x5F3760A7
1.453267,0.829521,0.853002,0.828515,0.829519,2,0x5F3760A8
0.250483,1.998072,1.931672,1.994799,1.998064,2,0x5F3760A9
0.106429,3.065278,3.162410,3.060612,3.065267,2,0x5F3760AA
0.141293,2.660351,2.734927,2.657186,2.660345,2,0x5F3760AB
0.237071,2.053811,1.984352,2.050327,2.053802,2,0x5F3760AC
1.380780,0.851016,0.871124,0.850298,0.851015,2,0x5F3760AD
0.653246,1.237262,1.279392,1.235085,1.237256,2,0x5F3760AE
0.042368,4.858281,5.019021,4.850216,4.858261,2,0x5F3760AF
0.033255,5.483680,5.602238,5.479807,5.483676,2,0x5F3760B0
0.107232,3.053780,3.149565,3.049227,3.053770,2,0x5F3760B1
0.668357,1.223195,1.264282,1.221102,1.223190,2,0x5F3760B2
0.237506,2.051930,1.982613,2.048457,2.051921,2,0x5F3760B3
0.117680,2.915071,2.982402,2.912721,2.915069,2,0x5F3760B4
0.208746,2.188725,2.195311,2.188695,2.188695,1,0x5F3760B5
0.550981,1.347198,1.381657,1.345865,1.347196,2,0x5F3760B6
0.037156,5.187844,5.352587,5.179914,5.187826,2,0x5F3760B7
0.289449,1.858720,1.853741,1.858700,1.858700,1,0x5F3760B8
0.399983,1.581172,1.632673,1.578629,1.581166,2,0x5F3760B9
0.630289,1.259592,1.302350,1.257391,1.259587,2,0x5F3760BA
0.246910,2.012475,1.944999,2.009120,2.012467,2,0x5F3760BB
0.085583,3.418261,3.495944,3.415593,3.418258,2,0x5F3760BC
0.183921,2.331762,2.393910,2.329255,2.331758,2,0x5F3760BD
0.035407,5.314386,5.464488,5.307968,5.314375,2,0x5F3760BE
0.715140,1.182509,1.217500,1.180940,1.182506,2,0x5F3760BF
1.341577,0.863361,0.880926,0.862821,0.863360,2,0x5F3760C0
0.123932,2.840592,2.882374,2.839666,2.840592,2,0x5F3760C1
0.457585,1.478306,1.517471,1.476736,1.478303,2,0x5F3760C2
0.183501,2.334427,2.397270,2.331867,2.334423,2,0x5F3760C3
0.852644,1.082969,1.079996,1.082957,1.082957,1,0x5F3760C4
0.394402,1.592320,1.643837,1.589793,1.592314,2,0x5F3760C5
1.529161,0.808674,0.834030,0.807469,0.808671,2,0x5F3760C6
0.078265,3.574512,3.613045,3.573887,3.574512,2,0x5F3760C7
0.062235,4.008508,3.873763,4.001790,4.008491,2,0x5F3760C8
1.953371,0.715497,0.727978,0.715168,0.715496,2,0x5F3760C9
0.497291,1.418060,1.438059,1.417635,1.418060,2,0x5F3760CA
0.601811,1.289051,1.330830,1.286997,1.289046,2,0x5F3760CB
0.464252,1.467652,1.504138,1.466280,1.467650,2,0x5F3760CC
1.240548,0.897828,0.906184,0.897711,0.897711,1,0x5F3760CD
1.511917,0.813272,0.838342,0.812101,0.813270,2,0x5F3760CE
0.157476,2.519953,2.605474,2.515551,2.519942,2,0x5F3760CF
0.568566,1.326202,1.364076,1.324564,1.326199,2,0x5F3760D0
0.031393,5.643916,5.721388,5.642313,5.643915,2,0x5F3760D1
0.257980,1.968824,1.916682,1.966771,1.968820,2,0x5F3760D2
0.233643,2.068825,1.998071,2.065236,2.068815,2,0x5F3760D3
0.037239,5.182020,5.347253,5.174033,5.182002,2,0x5F3760D4
0.401344,1.578489,1.629955,1.575945,1.578483,2,0x5F3760D5
0.200752,2.231875,2.259268,2.231369,2.231875,2,0x5F3760D6
1.298246,0.877650,0.891760,0.877308,0.877650,2,0x5F3760D7
0.466596,1.463961,1.499451,1.462660,1.463959,2,0x5F3760D8
0.083961,3.451128,3.521909,3.448936,3.451126,2,0x5F3760D9
0.044011,4.766725,4.913878,4.759841,4.766710,2,0x5F3760DA
0.817362,1.106096,1.115282,1.105981,1.105981,1,0x5F3760DB
0.963063,1.018996,0.984790,1.017293,1.018992,2,0x5F3760DC
0.663677,1.227501,1.268967,1.225376,1.227495,2,0x5F3760DD
0.045543,4.685872,4.815840,4.680415,4.685863,2,0x5F3760DE
0.039321,5.042993,5.214039,5.034193,5.042970,2,0x5F3760DF
0.177201,2.375567,2.447683,2.372250,2.375561,2,0x5F3760E0
0.373443,1.636395,1.685759,1.634139,1.636390,2,0x5F3760E1
